step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5534626653,0.0062535104,0.4900253884,-0.999966419,-0.0068818302,0.0038458784,0.0022384124,0.760505925,0.5947559524,0.0598015001,-0.999966419,0.0055877314,0.0077651618,0.0003885945,right,open
2,0.5537654579,0.0052449388,0.4897488062,-0.9999461786,-0.0089925906,0.0012162919,0.0050293069,0.7559689682,0.0217849304,0.0635365734,-0.9999461786,-0.0042061392,0.0068251323,0.002841333,left,open
3,0.5529989858,0.0059522433,0.4892199738,-0.9999433438,-0.0081288783,0.0024647725,0.0064152518,0.7541207472,0.0230648418,-0.1415055234,-0.9999433438,-0.0086901982,0.0045686338,0.0028315841,left,open
4,0.5538904793,0.005628233,0.4904266794,-0.9999792328,-0.0039662996,0.0015440141,0.0048392689,0.751692391,0.0169725406,0.0153310902,0.5,0,0,0.5,left,open
5,0.5542457514,0.0057385544,0.4906098236,-0.9999566364,-0.0061794765,0.0049324156,0.0049204388,0.7525540875,0.0161561237,0.0162023068,0.5,-0.5,0.5,0.5,left,w_r_o_l_c
6,0.5529507976,0.0058093367,0.403314954,0.6980901212,-0.7159718988,-0.0064182203,0.0036372095,0.7060262775,0.3574622744,0.4211775017,-0.7,0.7,0,0,left,open
7,0.5523054346,0.005989312,0.4038215749,0.7037253628,-0.7104396631,0.0041340318,0.005385969,0.2881682894,0.3481690204,0.4208179862,-0.7,0.7,0,0,left,open
8,0.4284039475,0.2248132128,-0.2923826456,-0.5,0.5,0.5,0.5,0.2878773468,0.3509169333,0.4191575,-0.6961613175,0.7178186828,0.0065229143,0.0072945305,right,w_r_c
9,0.4171531815,-0.1527316894,0.3988946473,-0.7,0.7,0,0,0.2873050944,0.3499266327,0.4203047245,0.7195373186,-0.6939105543,-0.0039075751,0.0271830929,right,open
10,0.7383486679,-0.1527220491,0.3996738724,-0.7,0.7,0,0,0.7146942372,0.3367300732,0.4043761308,0.6991384085,-0.714413733,0.00037961,0.0286069878,both,open
11,0.7380127059,-0.1497363389,-0.0055886753,-0.7,0.7,0,0,0.7021723916,0.323129025,-0.0016970502,0.6994449288,-0.7142928102,0.0008198089,0.0237044455,both,open
12,0.3262798525,-0.1463217293,-0.0050877174,0.7,-0.7,0,0,0.3296898101,0.3274550755,0.0121951928,0.7030468253,-0.7106865027,0.0002568914,0.0254909851,both,open
13,0.3268134661,-0.1460064122,-0.1419210592,-0.7,0.7,0,0,0.3219855084,0.3203667624,-0.1485510856,0.7022079923,-0.7112836894,-0.0001857533,0.0312955947,both,w_r_o_l_o
