step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5521320684,0.0061464153,0.4040785585,-0.999965278,-0.0042561967,0.0068014387,0.0022512136,0.7560342993,0.0103164397,0.0467192228,-0.999965278,-0.0031064821,-0.0018615995,0.0040371121,left,open
2,0.5521139777,0.0040181762,0.4034192844,-0.999968165,-0.0028045036,0.0062538571,0.0040857047,0.7585903323,0.0137753544,-0.1775025723,-0.999968165,-0.0032810564,-0.0053720068,0.0083744992,left,open
3,0.5528229525,0.0048929329,0.4030635853,-0.9999855245,-0.002848475,0.0037163409,0.002650636,0.748314309,0.0178491318,0.0068483247,0.5,-0.5,0.5,0.5,left,w_r_o_l_c
4,0.5529507976,0.0058093367,0.403314954,0.6980901212,-0.7159718988,-0.0064182203,0.0036372095,0.7060262775,0.3574622744,0.4211775017,-0.7,0.7,0,0,left,open
5,0.5523054346,0.005989312,0.4038215749,0.7037253628,-0.7104396631,0.0041340318,0.005385969,0.2881682894,0.3481690204,0.4208179862,-0.7,0.7,0,0,left,open
6,0.55352193,-0.4577132449,0.397052292,0,-0.5,-0.5,0,0.4503965217,0.1975270999,0.320916888,-0.0966847207,0.9951969855,0.0072218222,0.0135229509,right,open
7,0.5550862475,-0.4573176599,0.3972726757,0,-1,0,0,0.4504715808,0.1979134555,0.3203979189,-0.0243647049,0.9995311589,0.0183724664,0.0025052044,right,open
8,0.5488171807,0.0273362762,0.0075929913,0,-0.5,-0.5,0,0.4503853611,0.197529158,0.3207619819,-0.0241565316,0.9995499591,0.0176292666,0.0023558667,right,open
9,0.550637294,0.0261815027,0.0072077622,-0.5,-0.5,-0.5,0.5,0.4517022974,0.1986841998,0.3190052249,-0.9993284848,-0.0234652568,0.0240696461,0.0145812666,right,open
10,0.5516544092,0.0268996,-0.1098202256,-0.5,-0.5,-0.5,0.5,0.4515730293,0.1991258386,0.3187559619,-0.9993249978,-0.0230705581,0.023680791,0.0160161856,right,open
11,0.553420883,0.1443369632,-0.1075665923,-0.5,-0.5,-0.5,0.5,0.4897944394,0.2074406091,0.5085411632,-0.9990150767,-0.0371177537,0.0196931354,0.0142593571,right,open
12,0.4756314016,0.1476283391,-0.1075665923,-0.5,-0.5,-0.5,0.5,0.4898386984,0.2063657398,0.507941884,-0.9997084859,-0.0110524106,0.0190896295,0.0098170015,right,w_r_c
13,0.4317622692,0.2653787859,0.2568788222,-0.5,-0.5,-0.5,0.5,0.4964878241,0.2062757823,0.2877437629,-0.9997288045,-0.0141671028,-0.0184793976,0.0003500128,left,open
14,0.434486595,0.0415900058,0.2551511974,-1,0,0,0,0.4983300512,0.2068726195,0.2877263848,-0.9991401963,-0.0334037713,-0.0100795179,0.0223932918,right,open
15,0.7175174824,-0.0265126681,0.2546806087,-1,0,0,0,0.7114606064,0.2030170204,0.2880347518,-1,0,0,0,both,open
16,0.6305351193,-0.0250838203,0.1178785148,-1,0,0,0,0.6333105191,0.2013744763,0.089433318,-1,0,0,0,both,open
17,0.5032560224,-0.0265522324,0.0358604692,-1,0,0,0,0.5135188333,0.1995688606,0.0128203208,-1,0,0,0,both,open
18,0.291261088,-0.0264508122,-0.0417576141,-1,0,0,0,0.3303178219,0.2074271195,-0.0572587645,-1,0,0,0,both,open
19,0.2927429492,-0.0147646821,-0.2146416018,-1,0,0,0,0.3373890759,0.2047985203,-0.2112955611,-1,0,0,0,both,w_r_o_l_o
