step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516583773,0.0054324603,0.4041932826,-0.9998918501,-0.0124104356,0.0045456657,0.006450275,0.7512453048,0.0380749478,0.0478916958,-0.9998918501,0.0027064583,-0.0003683067,0.001150025,left,open
2,0.5519410665,0.005396128,0.4036505516,-0.9998923744,-0.0120338157,0.005139235,0.0066343897,0.7499652391,0.0386787608,-0.1347761767,-0.9998923744,0.0031973479,0.0007012509,0.0024501714,left,open
3,0.5523872675,0.0050596139,0.4037801344,-0.9999498563,-0.0092613659,0.0010890078,0.0036504882,0.7444261565,0.0437279843,0.008567431,0.5,0,0,0.5,left,open
4,0.5523062877,0.0055890322,0.4042106864,-0.9999838029,-0.0048140064,0.0013133356,0.0027375867,0.745221894,0.0429829359,0.0069593175,0.5,-0.5,0.5,0.5,left,w_r_o_l_c
5,0.5529507976,0.0058093367,0.403314954,0.6980901212,-0.7159718988,-0.0064182203,0.0036372095,0.7060262775,0.3574622744,0.4211775017,-0.7,0.7,0,0,left,open
6,0.5523054346,0.005989312,0.4038215749,0.7037253628,-0.7104396631,0.0041340318,0.005385969,0.2881682894,0.3481690204,0.4208179862,-0.7,0.7,0,0,left,open
7,0.4284039475,0.2248132128,-0.2923826456,-0.5,0.5,0.5,0.5,0.2878773468,0.3509169333,0.4191575,-0.6961613175,0.7178186828,0.0065229143,0.0072945305,right,w_r_c
8,0.4171531815,-0.1527316894,0.3988946473,-0.7,0.7,0,0,0.2873050944,0.3499266327,0.4203047245,0.7195373186,-0.6939105543,-0.0039075751,0.0271830929,right,open
9,0.7383486679,-0.1527220491,0.3996738724,-0.7,0.7,0,0,0.7146942372,0.3367300732,0.4043761308,0.6991384085,-0.714413733,0.00037961,0.0286069878,both,open
10,0.7380127059,-0.1497363389,-0.0055886753,-0.7,0.7,0,0,0.7021723916,0.323129025,-0.0016970502,0.6994449288,-0.7142928102,0.0008198089,0.0237044455,both,open
11,0.3262798525,-0.1463217293,-0.0050877174,0.7,-0.7,0,0,0.3296898101,0.3274550755,0.0121951928,0.7030468253,-0.7106865027,0.0002568914,0.0254909851,both,open
12,0.3268134661,-0.1460064122,-0.1419210592,-0.7,0.7,0,0,0.3219855084,0.3203667624,-0.1485510856,0.7022079923,-0.7112836894,-0.0001857533,0.0312955947,both,w_r_o_l_o
